Chr	Gene_ID	Product description	Gene Identification	MIS	MFS	# of insertions in CDS	# of nor malized reads (raw)	Note*	# of TTAA in CDS	TTAA density in CDS	transcript length	geneStart	endStart	gene strand	Ortholog count	Paralog count	NonSyn/Syn SNP Ratio	GO Processes	GO Functions	GO Components		
chr10	PF3D7_1007900	"eukaryotic translation initiation factor 3 subunit D, putative"	Non - Mutable in CDS	0.12	-2.993	0	11.18		26	15.93	1632	316649	318280	+	18	0	0.45	translational initiation	translation initiation factor activity	eukaryotic translation initiation factor 3 complex		
chr10	PF3D7_1008000	histone deacetylase 2	Non - Mutable in CDS	0.138	-2.924	0	49.83		96	13.45	7140	321011	328150	+	36	1	3.3	"inositol phosphate biosynthetic process, regulation of gene expression"	N/A	nucleus		
chr10	PF3D7_1008100	"zinc finger protein, putative"	Mutable in CDS	0.825	-2.082	1	234.79		180	15.57	11562	331246	342807	+	18	0	3.18	N/A	N/A	N/A		
chr10	PF3D7_1008200	"endonuclease, putative"	Mutable in CDS	0.995	-2.71	2	27.38		20	17.14	1167	343733	344899	-	18	0	0.75	N/A	N/A	mitochondrion		
chr10	PF3D7_1008300	"AP-5 complex subunit sigma-1, putative, pseudogene"	Non - Mutable in CDS	0.969	-3.848	0	0.79	tentative	2	37.04	54	346425	346478	+	17	0	0	N/A	N/A	N/A		
chr10	PF3D7_1008400	"26S protease regulatory subunit 4, putative"	Non - Mutable in CDS	0.745	-2.429	0	3.6		11	8.17	1347	347206	348667	-	18	0	0.18	proteolysis	endopeptidase activity	proteasome regulatory particle		
chr10	PF3D7_1008500	"conserved Plasmodium membrane protein, unknown function"	Mutable in CDS	0.954	-1.971	1	77.82		53	13.62	3891	351703	355593	+	18	0	4.03	N/A	N/A	apicoplast		
chr10	PF3D7_1008600	"zinc finger C-x8-C-x5-C-x3-H type, putative"	Non - Mutable in CDS	0.569	-2.322	0	2.63		10	8.94	1119	357345	358463	+	18	0	3	N/A	N/A	N/A		
chr10	PF3D7_1008700	tubulin beta chain	Non - Mutable in CDS	0.305	-2.901	0	2.3		14	10.46	1338	360625	362480	-	17	0	0.83	"microtubule cytoskeleton organization, response to drug"	structural constituent of cytoskeleton	microtubule		
chr10	PF3D7_1008800	"nucleolar protein 5, putative"	Non - Mutable in CDS	0.125	-3.111	0	4.55		24	17.02	1410	365737	367146	-	19	0	0.71	rRNA processing	RNA binding	nucleolus		
chr10	PF3D7_1008900	adenylate kinase	Non - Mutable in CDS	0.385	-3.482	0	6.07		18	24.69	729	369199	370225	-	18	0	0.17	generation of precursor metabolites and energy	adenylate kinase activity	cytosol		
chr10	PF3D7_1009000	"diphthine methyl ester synthase, putative"	Non - Mutable in CDS	0.907	-2.095	0	1.79		6	7.27	825	371293	372117	+	18	0	3.6	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	diphthine synthase activity	N/A		
chr10	PF3D7_1009100	"conserved Plasmodium membrane protein, unknown function"	Non - Mutable in CDS	0.174	-2.779	0	9.11		19	12.23	1554	372519	374072	+	15	0	2.27	N/A	N/A	apicoplast		
chr10	PF3D7_1009200	"small subunit rRNA synthesis-associated protein, putative"	Non - Mutable in CDS	0.34	-2.68	0	9.08		28	10.19	2748	374864	377611	+	18	0	2.73	N/A	N/A	N/A		
chr10	PF3D7_1009300	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.122	-3.117	0	11.79		30	16.64	1803	377906	379708	-	18	0	10.5	N/A	N/A	N/A		
chr10	PF3D7_1009400	"zinc finger protein, putative"	Mutable in CDS	0.724	-2.005	1	44.52		18	16.53	1089	381361	382449	+	18	0	1.33	N/A	poly(A) RNA binding	nucleus		
chr10	PF3D7_1009500	"metalloprotease, putative"	Non - Mutable in CDS	0.211	-2.685	0	7.86		13	11.52	1128	383044	384793	-	19	0	19	N/A	N/A	N/A		
chr10	PF3D7_1009600	"protein phosphatase, putative"	Non - Mutable in CDS	0.445	-2.495	0	8.66		14	9.54	1467	386976	388442	+	11	0	1.67	N/A	N/A	apicoplast		
chr10	PF3D7_1009700	"tubulin--tyrosine ligase, putative"	Mutable in CDS	0.945	0.501	1	388.12		23	13.84	1662	389504	391165	-	18	0	2.63	N/A	N/A	N/A		
chr10	PF3D7_1009800	"conserved Plasmodium membrane protein, unknown function"	Non - Mutable in CDS	0.119	-3.023	0	27.33		63	15.6	4038	393765	397993	-	18	0	8.69	N/A	N/A	N/A		
chr10	PF3D7_1009900	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.119	-3.089	0	16.57		37	15.81	2340	399207	401778	+	18	0	3.33	N/A	N/A	N/A		
chr10	PF3D7_1010000	"ribosomal protein L43, mitochondrial, putative"	Non - Mutable in CDS	0.146	-3.246	0	2.91		12	18.69	642	401876	402711	-	18	0	4	N/A	N/A	mitochondrion		
chr10	PF3D7_1010100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.119	-2.99	0	10.99		14	15.61	897	403681	404577	+	18	0	2.5	N/A	N/A	apicoplast		
chr10	PF3D7_1010200	"DNA2/NAM7 helicase, putative"	Non - Mutable in CDS	0.132	-2.94	0	32.02		76	13.77	5520	405019	410538	-	19	0	3.97	N/A	N/A	N/A		
chr10	PF3D7_1010300	"succinate dehydrogenase subunit 4, putative"	Non - Mutable in CDS	0.129	-3.165	0	3.55	tentative	5	14.01	357	414734	415330	+	18	0	1.4	N/A	N/A	N/A		
chr10	PF3D7_1010400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.937	1	0.79		6	5.48	1095	415406	417474	-	18	0	5.2	N/A	N/A	N/A		
chr10	PF3D7_1010500	"ankyrin-repeat protein, putative"	Non - Mutable in CDS	0.399	-2.544	0	1.54		5	9.8	510	417708	419321	+	16	0	0	N/A	N/A	N/A		
chr10	PF3D7_1010600	eukaryotic translation initiation factor 2 subunit beta	Non - Mutable in CDS	0.138	-2.771	0	4.21		9	13.45	669	420188	421059	-	18	0	0	formation of translation preinitiation complex	"mRNA binding, protein binding, translation initiation factor activity"	"eukaryotic translation initiation factor 2 complex, nucleus"		
chr10	PF3D7_1010700	"dolichyl-phosphate-mannose protein mannosyltransferase, putative"	Non - Mutable in CDS	0.572	-2.477	0	0.75		6	8.93	672	422964	424368	+	18	0	2.5	N/A	N/A	N/A		
chr10	PF3D7_1010800	"50S ribosomal protein L22, mitochondrial, putative"	Non - Mutable in CDS	0.175	-3.286	0	3.74		18	20	900	424869	425768	-	18	0	1	N/A	N/A	N/A		
chr10	PF3D7_1010900	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.14	-2.819	0	5.57		14	13.33	1050	426604	428149	+	18	0	5	N/A	N/A	N/A		
chr10	PF3D7_1011000	inner membrane complex sub-compartment protein 1	Non - Mutable in CDS	0.513	0	0	0	tentative	4	9.2	435	429207	430143	-	18	0	3	N/A	N/A	"apical part of cell, cytosol, inner membrane complex"		
chr10	PF3D7_1011100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.151	-2.845	0	14.96		38	12.87	2952	432508	435573	-	18	0	3.27	N/A	N/A	N/A		
chr10	PF3D7_1011200.1	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.128	0	0	0	tentative	6	17.39	345	436961	437711	+	19	1	2	N/A	N/A	N/A		
chr10	PF3D7_1011300	"protein ARV1, putative"	Non - Mutable in CDS	0.13	-3.144	0	22.73		34	17.57	1935	438449	440383	+	17	0	3.36	N/A	N/A	N/A		
chr10	PF3D7_1011400	proteasome subunit beta type-5	Non - Mutable in CDS	0.399	-2.604	0	4.35		8	9.8	816	441143	441958	-	18	0	0.67	ubiquitin-dependent protein catabolic process	N/A	"cytoplasm, nucleus, proteasome core complex"		
chr10	PF3D7_1011500	"conserved Plasmodium membrane protein, unknown function"	Non - Mutable in CDS	0.459	-2.268	0	0.98		5	9.47	528	443877	444404	-	19	0	7	N/A	N/A	N/A		
chr10	PF3D7_1011600	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.707	8	353.46		37	18.86	1962	445167	447128	-	18	0	1.77	N/A	N/A	N/A		
chr10	PF3D7_1011700	"DNA repair protein RAD23, putative"	Mutable in CDS	0.756	-1.038	1	80.52		19	16.24	1170	449157	450326	+	18	0	4	nucleotide-excision repair	damaged DNA binding	N/A		
chr10	PF3D7_1011800	PRE-binding protein	Non - Mutable in CDS	0.125	-2.928	0	24.54		49	14.33	3420	455401	458820	+	18	0	2.76	"regulation of transcription, DNA-templated"	"double-stranded DNA binding, sequence-specific DNA binding transcription factor activity"	nucleus		
chr10	PF3D7_1011900	heme oxygenase	Non - Mutable in CDS	0.853	0	0	0		7	7.63	918	460338	461996	-	19	0	0.67	N/A	heme oxygenase (decyclizing) activity	apicoplast		
chr10	PF3D7_1012000	"E3 ubiquitin-protein ligase, putative"	Mutable in CDS	1	-0.731	4	186.76		35	14.92	2346	463496	467009	+	18	0	1.5	N/A	N/A	N/A		
chr10	PF3D7_1012100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.183	-2.843	0	8.41		14	12.03	1164	468074	469539	-	18	0	2.5	N/A	N/A	N/A		
chr10	PF3D7_1012200	rhoptry associated adhesin	Non - Mutable in CDS	0.165	-2.882	0	6.97		10	12.44	804	470982	471936	+	18	0	3	entry into host cell	host cell surface binding	"cell surface, rhoptry"		
chr10	PF3D7_1012300	"cytochrome b-c1 complex subunit 7, putative"	Non - Mutable in CDS	0.18	-2.624	0	2.63		7	12.09	579	472549	473389	-	18	0	0.5	N/A	N/A	N/A		
chr10	PF3D7_1012400	hypoxanthine-guanine phosphoribosyltransferase	Non - Mutable in CDS	0.15	-2.897	0	5.71		9	12.93	696	475330	476566	-	13	0	1	purine ribonucleoside salvage	hypoxanthine phosphoribosyltransferase activity	N/A		
chr10	PF3D7_1012500	"phosphoglucomutase, putative"	Mutable in CDS	1	-2.779	2	27.02		25	14.03	1782	478761	480542	-	22	0	2	N/A	N/A	N/A		
chr10	PF3D7_1012600	GMP synthase [glutamine-hydrolyzing]	Non - Mutable in CDS	0.125	-2.925	0	6.95		24	14.39	1668	482530	484197	-	18	0	1.38	N/A	GMP synthase activity	N/A		
chr10	PF3D7_1012700	"NLI interacting factor-like phosphatase, putative"	Non - Mutable in CDS	0.143	-2.771	0	35.54		57	13.2	4317	487255	491831	+	18	0	6.67	N/A	N/A	nucleus		
chr10	PF3D7_1012800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.924	-2.858	1	25.37		37	14.26	2595	492553	495147	+	17	0	0.72	N/A	N/A	N/A		
chr10	PF3D7_1012900	"autophagy-related protein 18, putative"	Non - Mutable in CDS	0.141	-3.265	0	10.52		21	18.37	1143	496334	497576	-	18	0	0.22	N/A	N/A	N/A		
chr10	PF3D7_1013000	"zinc finger protein, putative"	Mutable in CDS	0.713	-0.407	1	188.17		26	16.63	1563	500213	502224	+	18	0	1.18	N/A	N/A	cell periphery		
chr10	PF3D7_1013100	"U3 small nucleolar RNA-associated protein 13, putative"	Non - Mutable in CDS	0.119	-3.035	0	28.93		58	15.83	3663	502637	506395	-	18	0	3.57	N/A	N/A	"nucleolus, small-subunit processome"		
chr10	PF3D7_1013200	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.251	12	627.64		46	14.4	3195	511087	514281	+	18	0	2.3	N/A	N/A	N/A		
chr10	PF3D7_1013300	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.559	4	68.35		34	18.02	1887	515724	517610	-	18	0	2.33	N/A	N/A	N/A		
chr10	PF3D7_1013400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.948	-2.856	1	22.97		33	13.78	2394	518543	522253	-	19	0	9.43	N/A	N/A	N/A		
chr10	PF3D7_1013500	phosphoinositide-specific phospholipase C	Non - Mutable in CDS	0.121	-3.055	0	30.81		68	16.35	4158	526841	531449	+	20	0	2.05	"intracellular signal transduction, phospholipid metabolic process"	phosphatidylinositol phospholipase C activity	N/A		
chr10	PF3D7_1013600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-3.059	0	64.9		108	16.08	6717	533110	539826	+	18	0	3.45	N/A	N/A	N/A		
chr10	PF3D7_1013700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.13	0	0	0		8	13.89	576	540623	541695	+	16	0	7	N/A	N/A	N/A		
chr10	PF3D7_1013800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	2.082	2	822.59		10	6.84	1461	542360	544780	+	17	0	2.8	N/A	N/A	N/A		
chr10	PF3D7_1013900	"translation initiation factor eIF-2B subunit delta, putative"	Mutable in CDS	1	-2.029	6	73.33		40	12.4	3225	545680	548904	-	18	0	6.43	regulation of translational initiation	translation initiation factor activity	eukaryotic translation initiation factor 2B complex		
chr10	PF3D7_1014000	GDP-L-fucose synthase	Non - Mutable in CDS	0.136	-2.471	0	3.43		14	13.53	1035	550840	552572	-	18	0	1.67	"nucleotide-sugar metabolic process, protein glycosylation"	"GDP-L-fucose synthase activity, racemase and epimerase activity, acting on carbohydrates and derivatives"	cytoplasm		
chr10	PF3D7_1014100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-2.967	0	42.77		66	15.11	4368	555161	559528	+	18	0	6.3	N/A	N/A	cytoplasm		
chr10	PF3D7_1014200	"male gamete fusion factor HAP2, putative"	Mutable in CDS	0.876	-2.845	1	20.03		40	14.98	2670	560539	563354	+	18	0	1.81	N/A	N/A	N/A		
chr10	PF3D7_1014300	"conserved protein, unknown function"	Mutable in CDS	1	-0.901	5	243.7		84	11.76	7140	565806	573061	+	19	0	3.51	N/A	N/A	N/A		
chr10	PF3D7_1014400	MO15-related protein kinase	Non - Mutable in CDS	0.125	-3.062	0	4.03		14	14.36	975	574130	575104	+	18	0	1.5	"protein phosphorylation, regulation of cell cycle"	cyclin-dependent protein serine/threonine kinase activity	nucleus		
chr10	PF3D7_1014500	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.121	-2.904	0	22.82		58	14.87	3900	576580	580479	+	18	0	4	N/A	N/A	N/A		
chr10	PF3D7_1014600	transcriptional coactivator ADA2	Non - Mutable in CDS	0.375	-2.557	0	40.11		77	9.95	7737	581355	589091	-	18	0	2.22	N/A	"protein binding, sequence-specific DNA binding transcription factor activity"	N/A		
chr10	PF3D7_1014700	"prohibitin, putative"	Non - Mutable in CDS	0.166	-3.223	0	9.4		18	19.67	915	595309	596223	+	18	0	0.67	cellular process	N/A	N/A		
chr10	PF3D7_1014800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.999	-1.827	2	122.03		38	15.17	2505	596498	600414	-	19	0	2.43	N/A	N/A	N/A		
chr10	PF3D7_1014900	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.585	14	720.36		85	12.43	6840	600971	607810	-	19	0	5.08	N/A	N/A	N/A		
chr10	PF3D7_1015000	"FAD synthetase, putative"	Mutable in CDS	0.989	-2.699	2	24.53		18	18.24	987	611214	612200	+	18	0	3.33	N/A	FMN adenylyltransferase activity	N/A		
chr10	PF3D7_1015100	"conserved protein, unknown function"	Mutable in CDS	0.865	-2.566	1	13.94		18	15.11	1191	612686	613876	-	18	0	3	N/A	N/A	N/A		
chr10	PF3D7_1015200.1	"cysteine--tRNA ligase, putative"	Non - Mutable in CDS	0.267	-2.689	0	10.29		22	10.82	2034	614873	617737	-	20	2	1.38	N/A	N/A	cytosol		
chr10	PF3D7_1015300	"methionine aminopeptidase 1b, putative"	Mutable in CDS	1	-1.936	3	55.14		27	17.37	1554	618441	619994	+	36	1	5	"cellular protein modification process, proteolysis"	metalloexopeptidase activity	N/A		
chr10	PF3D7_1015400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.34	1	28.53		23	9.91	2322	621306	623627	+	18	0	3.64	N/A	N/A	N/A		
chr10	PF3D7_1015500	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.123	-3.05	0	14.3		31	16.77	1848	624049	625896	-	18	0	1.67	N/A	N/A	N/A		
chr10	PF3D7_1015600	heat shock protein 60	Non - Mutable in CDS	0.132	-2.902	0	9.83		24	13.77	1743	627045	629041	-	18	0	0.6	"protein targeting to mitochondrion, response to unfolded protein"	"ATPase activity, coupled, protein binding"	mitochondrion		
chr10	PF3D7_1015700.1	"tubulin binding cofactor c, putative"	Non - Mutable in CDS	0.171	-3.311	0	7.96		20	19.84	1008	629910	632062	-	20	1	2.5	N/A	N/A	N/A		
chr10	PF3D7_1015800	"ribonucleoside-diphosphate reductase small chain, putative"	Non - Mutable in CDS	0.13	-3.167	0	1.17		14	13.89	1008	633683	635287	+	18	0	2.5	"DNA replication, deoxyribonucleotide biosynthetic process"	"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	ribonucleoside-diphosphate reductase complex		
chr10	PF3D7_1015900	enolase	Non - Mutable in CDS	0.121	-2.917	0	4.84		20	14.91	1341	637139	639012	+	18	0	1.2	"activation of immune response, autophagic vacuole assembly, gluconeogenesis, glycolytic process, transcription, DNA-templated"	"phosphopyruvate hydratase activity, protein binding"	"cell surface, cytoskeleton, food vacuole, nucleus, plasma membrane"		
chr10	PF3D7_1016000	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.642	5	354.48		27	19.82	1362	641391	642752	+	18	0	4.67	N/A	N/A	N/A		
chr10	PF3D7_1016100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.301	-3.653	0	4.22		18	23.26	774	643559	644332	-	18	0	2.6	N/A	N/A	N/A		
chr10	PF3D7_1016200	"Rab3 GTPase-activating protein non-catalytic subunit, putative"	Non - Mutable in CDS	0.218	-3.346	0	22.61		36	21.39	1683	646055	647737	+	18	0	2.17	N/A	N/A	N/A		
chr10	PF3D7_1016300	glycophorin binding protein	Mutable in CDS	1	-1.841	2	35.25		25	10.1	2475	650899	653568	-	6	2	0.91	N/A	N/A	host cell cytoplasm		
chr10	PF3D7_1016400	"serine/threonine protein kinase, FIKK family"	Mutable in CDS	0.953	-2.76	1	18.15		25	13.66	1830	656710	659028	-	2	0	4.5	N/A	N/A	N/A		
chr10	PF3D7_1016500	"Plasmodium exported protein (PHISTc), unknown function"	Mutable in CDS	0.998	-2.69	1	9.57		25	10.85	2304	661743	664202	-	2	0	4.64	N/A	N/A	N/A		
chr10	PF3D7_1016600	"Plasmodium exported protein (PHISTc), unknown function"	Non - Mutable in CDS	0.124	-3.074	0	6.23		15	16.84	891	665661	666657	-	12	0	8	N/A	N/A	host cell		
chr10	PF3D7_1016700	"Plasmodium exported protein (PHISTc), unknown function"	Non - Mutable in CDS	0.631	-2.52	0	5.58		22	8.67	2538	669205	671856	-	2	0	7	N/A	N/A	N/A		
chr10	PF3D7_1016800	"Plasmodium exported protein (PHISTc), unknown function"	Mutable in CDS	0.981	-2.893	1	7.04		12	12.7	945	675297	676421	-	10	0	7.5	N/A	N/A	N/A		
chr10	PF3D7_1016900	early transcribed membrane protein 10.3	Non - Mutable in CDS	0.519	-2.338	0	1.77	tentative	3	9.17	327	682186	682512	-	3	0	2.75	N/A	N/A	symbiont-containing vacuole membrane		
chr10	PF3D7_1017000	DNA polymerase delta catalytic subunit	Non - Mutable in CDS	0.128	-3.097	0	17.25		57	17.35	3285	685582	688866	+	18	0	1.07	DNA replication	"DNA-directed DNA polymerase activity, single-stranded DNA 3'-5' exodeoxyribonuclease activity"	delta DNA polymerase complex		
chr10	PF3D7_1017100	rhoptry neck protein 12	Non - Mutable in CDS	0.13	-2.976	0	9.95		13	13.93	933	689892	690824	-	18	0	4	N/A	N/A	"rhoptry neck, symbiont-containing vacuole"		
chr10	PF3D7_1017200	"enoyl-CoA hydratase-related protein, putative"	Non - Mutable in CDS	0.177	-3.347	0	18.38		32	20.09	1593	692430	694222	+	18	0	1.17	N/A	N/A	N/A		
chr10	PF3D7_1017300.1	"golgi re-assembly stacking protein 1, golgi re-assembly stacking protein 2"	Mutable in CDS	1	0.849	3	412.59		19	11.03	1722	694844	696713	-	20	1	3.71	N/A	N/A	Golgi apparatus		
chr10	PF3D7_1017400	"phosphomannomutase, putative"	Non - Mutable in CDS	0.121	-3.116	0	7.96		12	16.33	735	697974	699827	-	19	0	1.25	GDP-mannose biosynthetic process	phosphomannomutase activity	N/A		
chr10	PF3D7_1017500	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.558	-3.515	0	4.85	tentative	11	27.16	405	701750	702426	+	18	0	0.5	N/A	N/A	N/A		
chr10	PF3D7_1017600	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.19	2	134.67		25	8.57	2916	705541	708456	+	18	0	3.61	N/A	N/A	N/A		
chr10	PF3D7_1017700	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	1.344	7	766.56		11	8.33	1320	709511	710830	+	2	0	2.62	N/A	N/A	N/A		
chr10	PF3D7_1017800	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.183	-2.746	0	27.76		41	12.02	3411	711020	714662	-	18	0	2.42	N/A	N/A	N/A		
chr10	PF3D7_1017900	"26S proteasome regulatory subunit p55, putative"	Non - Mutable in CDS	0.143	-3.288	0	8.99		26	18.52	1404	715882	717441	+	18	0	1.71	ubiquitin-dependent protein catabolic process	endopeptidase activity	proteasome regulatory particle		
chr10	PF3D7_1018000	"tRNA pseudouridine synthase, putative"	Mutable in CDS	0.712	-3.154	1	16.33		28	16.64	1683	718458	720140	+	41	1	7.8	RNA processing	pseudouridylate synthase activity	apicoplast		
chr10	PF3D7_1018100	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.975	-2.047	1	20.09		11	12.96	849	720555	721403	+	18	0	2.67	N/A	N/A	N/A		
chr10	PF3D7_1018200	"serine/threonine protein phosphatase 8, putative"	Non - Mutable in CDS	0.243	-2.701	0	47.6		72	11.08	6501	721738	728335	-	18	0	5.39	N/A	N/A	"cytoplasm, nucleus"		
chr10	PF3D7_1018300	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.739	-2.359	0	20.16		25	8.2	3048	729813	732860	-	18	0	4.5	N/A	N/A	N/A		
chr10	PF3D7_1018400	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.14	-2.723	0	6.13		8	13.33	600	734726	735742	+	2	0	8	N/A	N/A	N/A		
chr10	PF3D7_1018500	"PHF5-like protein, putative"	Non - Mutable in CDS	0.992	-1.744	0	2.08	tentative	2	5.95	336	735925	736817	-	17	0	0	N/A	N/A	N/A		
chr10	PF3D7_1018600	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.781	6	492.98		81	14.17	5715	737696	743410	-	18	0	4.39	N/A	N/A	N/A		
chr10	PF3D7_1018700	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.158	4	403.87		22	11.83	1860	747032	748891	+	18	0	5.75	N/A	N/A	N/A		
chr10	PF3D7_1018800	"conserved protein, unknown function"	Mutable in CDS	0.998	0.655	1	603.67		23	10.81	2127	750219	752669	+	18	0	2.42	N/A	N/A	N/A		
chr10	PF3D7_1018900	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.237	-2.728	0	15.32		24	11.16	2151	752764	754914	-	18	0	2.92	N/A	N/A	N/A		
chr10	PF3D7_1019000	"eukaryotic translation initiation factor subunit eIF2A, putative"	Non - Mutable in CDS	0.17	-2.758	0	51.63		89	12.33	7218	757799	765162	+	18	0	4.47	N/A	N/A	N/A		
chr10	PF3D7_1019100	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	0.059	5	388.1		46	7.95	5787	766172	771958	-	16	0	6.16	N/A	N/A	N/A		
chr10	PF3D7_1019200	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.999	-2.477	1	3.5		10	10.42	960	773535	774494	+	13	0	4	N/A	N/A	N/A		
chr10	PF3D7_1019300	"zinc finger protein, putative"	Mutable in CDS	1	-1.119	4	159.17		56	10.59	5289	774933	780491	-	8	0	3.33	N/A	N/A	apicoplast		
chr10	PF3D7_1019400	"60S ribosomal protein L30e, putative"	Non - Mutable in CDS	0.519	0	0	0	tentative	3	9.17	327	786507	787012	+	18	0	1	translation	structural constituent of ribosome	cytosolic large ribosomal subunit		
chr10	PF3D7_1019500.1	"conserved Plasmodium membrane protein, unknown function"	Mutable in CDS	0.993	-2.415	1	16.89		44	11.81	3726	787749	795224	-	21	1	1.47	N/A	N/A	N/A		
chr10	PF3D7_1019600	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.196	5	414.76		47	12.94	3633	796295	799927	+	18	0	3.48	N/A	N/A	N/A		
chr10	PF3D7_1019700	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.704	2	63.8		26	8.06	3225	800282	803506	-	9	0	7.76	N/A	N/A	N/A		
chr10	PF3D7_1019800	"tRNA methyltransferase, putative"	Non - Mutable in CDS	0.221	-2.671	0	17.3		37	11.37	3255	804332	807586	-	18	0	5	N/A	N/A	N/A		
chr10	PF3D7_1019900	autophagy-related protein 8	Non - Mutable in CDS	0.282	-2.603	0	0.79	tentative	4	10.67	375	808622	808996	-	18	0	1	response to drug	protein binding	"apicoplast, cytoplasmic vesicle, cytosol, membrane"		
chr10	PF3D7_1020000	"RNA-binding protein 34, putative"	Non - Mutable in CDS	0.323	-2.72	0	1.36		10	10.32	969	811110	813488	-	18	0	1.3	N/A	poly(A) RNA binding	N/A		
chr10	PF3D7_1020100	"flagellar outer arm dynein-associated protein, putative"	Non - Mutable in CDS	0.146	-2.531	0	1.04	tentative	4	13.07	306	814356	814961	-	36	1	0.5	N/A	N/A	N/A		
chr10	PF3D7_1020200	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.037	11	547.67		39	15.78	2472	816070	818976	-	36	1	3.1	N/A	N/A	N/A		
chr10	PF3D7_1020300	"cytoplasmic dynein intermediate chain, putative"	Mutable in CDS	1	-1.409	2	32.37		17	7.36	2310	819834	822143	+	18	0	3.78	microtubule-based movement	microtubule motor activity	cytoplasmic dynein complex		
chr10	PF3D7_1020400	"rRNA (cytosine-C(5))-methyltransferase, putative"	Mutable in CDS	0.999	-2.032	1	36.58		18	9.97	1806	822606	824597	-	18	0	1.67	N/A	rRNA (cytosine-C5-)-methyltransferase activity	nucleolus		
chr10	PF3D7_1020500	"ribosomal silencing factor RsfS, putative"	Non - Mutable in CDS	0.389	-2.719	0	5.2		15	9.86	1521	825455	826975	+	17	0	2.92	N/A	N/A	N/A		
chr10	PF3D7_1020600	"conserved Plasmodium membrane protein, unknown function"	Mutable in CDS	1	-2.351	5	100.44		75	11.71	6405	827492	834235	+	19	0	5.69	N/A	N/A	N/A		
chr10	PF3D7_1020700	"histone acetyltransferase, putative"	Mutable in CDS	0.995	-1.441	2	192.62		66	17.32	3810	835296	839704	+	18	0	2.64	N/A	N/A	N/A		
chr10	PF3D7_1020800	dihydrolipoamide acyltransferase component E2	Non - Mutable in CDS	0.136	-2.875	0	9.92		26	13.52	1923	840216	843407	+	18	0	1.5	"acetyl-CoA biosynthetic process from pyruvate, fatty acid biosynthetic process, tricarboxylic acid cycle"	"dihydrolipoyllysine-residue acetyltransferase activity, pyruvate dehydrogenase (acetyl-transferring) activity"	"apicoplast, membrane, pyruvate dehydrogenase complex"		
chr10	PF3D7_1020900	ADP-ribosylation factor	Non - Mutable in CDS	0.251	-3.264	0	0.42		6	10.99	546	845090	846196	-	18	0	3	protein ADP-ribosylation	GTP binding	"Golgi apparatus, food vacuole"		
chr10	PF3D7_1021000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-2.994	0	7.55		16	15.07	1062	848863	850408	-	14	0	0.75	N/A	N/A	N/A		
